Votado| B| CLAIM| NA| NA| 0
como| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
cuesta| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
san| O| NA| NA| NA| 0
vicente| O| NA| NA| NA| 0
tiene| O| NA| NA| NA| 0
otros| O| NA| NA| NA| 0
carriles| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
disposición| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
adelantar| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
A| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
conductores| O| NA| NA| NA| 0
les| O| NA| NA| NA| 0
puede| O| NA| NA| NA| 0
impacientar| O| NA| NA| NA| 0
tener| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
vehículo| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
lento| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
entender| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
atascos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
coches| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
provocan| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Muchos| O| NA| NA| NA| 0
coches| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Además| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
mayoría| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
situaciones| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
ralentiza| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
tráfico| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
me| O| NA| NA| NA| 0
crees| O| NA| NA| NA| 0
prueba| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
bajar| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
castellana| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
viernes| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
tarde| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
ver| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
alcanza| O| NA| NA| NA| 0
algún| O| NA| NA| NA| 0
coche| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

La| B| CLAIM| NA| NA| 0
normativa| I| CLAIM| NA| NA| 0
ya| I| CLAIM| NA| NA| 0
existe| I| CLAIM| NA| NA| 0
¿| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
qué| O| NA| NA| NA| 0
no| B| PREMISE| OPPOSITION| ATTACK| -1
se| I| PREMISE| OPPOSITION| ATTACK| -1
hace| I| PREMISE| OPPOSITION| ATTACK| -1
cumplir| I| PREMISE| OPPOSITION| ATTACK| -1
?| O| NA| NA| NA| 0
¿| O| NA| NA| NA| 0
Por| O| NA| NA| NA| 0
qué| O| NA| NA| NA| 0
se| B| PREMISE| OPPOSITION| ATTACK| -2
hace| I| PREMISE| OPPOSITION| ATTACK| -2
la| I| PREMISE| OPPOSITION| ATTACK| -2
vista| I| PREMISE| OPPOSITION| ATTACK| -2
gorda| I| PREMISE| OPPOSITION| ATTACK| -2
?| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Las| O| NA| NA| NA| 0
crías| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
humano| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
tu| O| NA| NA| NA| 0
dices| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
cuando| O| NA| NA| NA| 0
crecen| O| NA| NA| NA| 0
pagan| O| NA| NA| NA| 0
impuestos| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
sociedad| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
sin| O| NA| NA| NA| 0
mascotas| O| NA| NA| NA| 0
siga| O| NA| NA| NA| 0
su| O| NA| NA| NA| 0
curso| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
bien| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
mal| O| NA| NA| NA| 0
esto| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Cual| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
aporte| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
tus| O| NA| NA| NA| 0
100| O| NA| NA| NA| 0
mil| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
S.| O| NA| NA| NA| 0
Social| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
pensiones| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
servicios| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
Bomberos| O| NA| NA| NA| 0
etc.| O| NA| NA| NA| 0
Ya| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
hora| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
empiecen| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
pagar| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
trabes| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
dueños| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Yo| B| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
propongo| I| CLAIM| NA| NA| 0
multas| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
ya| B| PREMISE| REASON| SUPPORT| -1
que| I| PREMISE| REASON| SUPPORT| -1
son| I| PREMISE| REASON| SUPPORT| -1
muy| I| PREMISE| REASON| SUPPORT| -1
difíciles| I| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
aplicar| I| PREMISE| REASON| SUPPORT| -1
,| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
creo| B| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
habría| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
crear| I| CLAIM| NA| NA| 0
zonas| I| CLAIM| NA| NA| 0
caninas| I| CLAIM| NA| NA| 0
donde| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
dueños| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
perros| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
lleven| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
hacer| I| CLAIM| NA| NA| 0
sus| I| CLAIM| NA| NA| 0
necesidades| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
estos| B| CLAIM| EXPLANATION| SUPPORT| -1
sitios| I| CLAIM| EXPLANATION| SUPPORT| -1
deberían| I| CLAIM| EXPLANATION| SUPPORT| -1
estar| I| CLAIM| EXPLANATION| SUPPORT| -1
delimitados| I| CLAIM| EXPLANATION| SUPPORT| -1
,| I| CLAIM| EXPLANATION| SUPPORT| -1
y| I| CLAIM| EXPLANATION| SUPPORT| -1
además| I| CLAIM| EXPLANATION| SUPPORT| -1
yo| I| CLAIM| EXPLANATION| SUPPORT| -1
los| I| CLAIM| EXPLANATION| SUPPORT| -1
dotaría| I| CLAIM| EXPLANATION| SUPPORT| -1
con| I| CLAIM| EXPLANATION| SUPPORT| -1
aspiradoras| I| CLAIM| EXPLANATION| SUPPORT| -1
para| I| CLAIM| EXPLANATION| SUPPORT| -1
heces| I| CLAIM| EXPLANATION| SUPPORT| -1
,| I| CLAIM| EXPLANATION| SUPPORT| -1
me| I| CLAIM| EXPLANATION| SUPPORT| -1
parece| I| CLAIM| EXPLANATION| SUPPORT| -1
que| I| CLAIM| EXPLANATION| SUPPORT| -1
es| I| CLAIM| EXPLANATION| SUPPORT| -1
una| I| CLAIM| EXPLANATION| SUPPORT| -1
medida| I| CLAIM| EXPLANATION| SUPPORT| -1
que| I| CLAIM| EXPLANATION| SUPPORT| -1
no| I| CLAIM| EXPLANATION| SUPPORT| -1
resultaría| I| CLAIM| EXPLANATION| SUPPORT| -1
muy| I| CLAIM| EXPLANATION| SUPPORT| -1
costosa| I| CLAIM| EXPLANATION| SUPPORT| -1
y| I| CLAIM| EXPLANATION| SUPPORT| -1
si| I| CLAIM| EXPLANATION| SUPPORT| -1
se| I| CLAIM| EXPLANATION| SUPPORT| -1
ahorraria| I| CLAIM| EXPLANATION| SUPPORT| -1
mucho| I| CLAIM| EXPLANATION| SUPPORT| -1
en| I| CLAIM| EXPLANATION| SUPPORT| -1
limpieza| I| CLAIM| EXPLANATION| SUPPORT| -1
viaria| I| CLAIM| EXPLANATION| SUPPORT| -1
,| O| NA| NA| NA| 0
ya| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
concentraría| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
emisión| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
heces| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
lugares| O| NA| NA| NA| 0
concretos| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
barrios| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
facilitaría| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
duños| O| NA| NA| NA| 0
mediante| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
aspiradoras| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Las| O| NA| NA| NA| 0
heces| O| NA| NA| NA| 0
podrían| O| NA| NA| NA| 0
ser| O| NA| NA| NA| 0
utilizadas| O| NA| NA| NA| 0
después| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
abono| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

¿| O| NA| NA| NA| 0
Porqué| O| NA| NA| NA| 0
nuestros| O| NA| NA| NA| 0
bebés| O| NA| NA| NA| 0
tienen| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
llevar| O| NA| NA| NA| 0
dodotis| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
dejamos| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
defequen| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
orinen| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
nuestras| O| NA| NA| NA| 0
calles| O| NA| NA| NA| 0
?| O| NA| NA| NA| 0
Es| O| NA| NA| NA| 0
insano| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
repugnante| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Podría| O| NA| NA| NA| 0
establecerse| O| NA| NA| NA| 0
una| O| NA| NA| NA| 0
norma| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
obligase| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
dueños| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
sacar| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
sus| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
calle| O| NA| NA| NA| 0
con| O| NA| NA| NA| 0
dodotis| O| NA| NA| NA| 0
especialmente| O| NA| NA| NA| 0
diseñados| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
ellos| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Carril| B| CLAIM| NA| NA| 0
bicicleta| I| CLAIM| NA| NA| 0
por| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
Castellana| I| CLAIM| NA| NA| 0
:| O| NA| NA| NA| 0
sencillamente| B| PREMISE| CONCLUSION| SUPPORT| -1
imprescindible| I| PREMISE| CONCLUSION| SUPPORT| -1
.| O| NA| NA| NA| 0

Para| O| NA| NA| NA| 0
tu| O| NA| NA| NA| 0
información| O| NA| NA| NA| 0
ya| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
pagan| O| NA| NA| NA| 0
impuestos| O| NA| NA| NA| 0
cuando| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
registra| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
comunidad| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Buscate| O| NA| NA| NA| 0
otro| O| NA| NA| NA| 0
impuesto| O| NA| NA| NA| 0
nuevo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Y| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
qué| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
un| B| CLAIM| NA| NA| 0
programa| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
concienciación| I| CLAIM| NA| NA| 0
estratégico| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
largo| I| CLAIM| NA| NA| 0
plazo| I| CLAIM| NA| NA| 0
con| I| CLAIM| NA| NA| 0
sucesivas| I| CLAIM| NA| NA| 0
campañas| I| CLAIM| NA| NA| 0
para| I| CLAIM| NA| NA| 0
convertirnos| I| CLAIM| NA| NA| 0
todos| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
madrileños| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
madrileñas| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
ciudadanos| I| CLAIM| NA| NA| 0
limpios| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
respetuosos| I| CLAIM| NA| NA| 0
con| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
espacios| I| CLAIM| NA| NA| 0
públicos| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
nuestra| I| CLAIM| NA| NA| 0
ciudad| I| CLAIM| NA| NA| 0
?| O| NA| NA| NA| 0
Hace| B| PREMISE| EXEMPLIFICATION| SUPPORT| 1
unos| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
meses| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
me| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
contaba| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
un| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
amigo| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
su| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
experiencia| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
maratón| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
Tokyo| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
,| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
que| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
cientos| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
voluntarios| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
hacían| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
papelera| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
humana| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
para| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
asegurar| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
limpieza| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
durante| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
maratón| I| PREMISE| EXEMPLIFICATION| SUPPORT| 1
;| O| NA| NA| NA| 0
porque| O| NA| NA| NA| 0
en| B| PREMISE| REASON| SUPPORT| 1
una| I| PREMISE| REASON| SUPPORT| 1
de| I| PREMISE| REASON| SUPPORT| 1
las| I| PREMISE| REASON| SUPPORT| 1
ciudades| I| PREMISE| REASON| SUPPORT| 1
con| I| PREMISE| REASON| SUPPORT| 1
las| I| PREMISE| REASON| SUPPORT| 1
calles| I| PREMISE| REASON| SUPPORT| 1
más| I| PREMISE| REASON| SUPPORT| 1
limpias| I| PREMISE| REASON| SUPPORT| 1
del| I| PREMISE| REASON| SUPPORT| 1
planeta| I| PREMISE| REASON| SUPPORT| 1
me| I| PREMISE| REASON| SUPPORT| 1
cuentan| I| PREMISE| REASON| SUPPORT| 1
que| I| PREMISE| REASON| SUPPORT| 1
no| I| PREMISE| REASON| SUPPORT| 1
hay| I| PREMISE| REASON| SUPPORT| 1
papeleras| I| PREMISE| REASON| SUPPORT| 1
.| O| NA| NA| NA| 0
Y| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
no| B| CLAIM| REASON| SUPPORT| -3
son| I| CLAIM| REASON| SUPPORT| -3
necesarias| I| CLAIM| REASON| SUPPORT| -3
si| O| NA| NA| NA| 0
la| B| PREMISE| CONDITION| SUPPORT| -1
población| I| PREMISE| CONDITION| SUPPORT| -1
cuida| I| PREMISE| CONDITION| SUPPORT| -1
su| I| PREMISE| CONDITION| SUPPORT| -1
ciudad| I| PREMISE| CONDITION| SUPPORT| -1
y| O| NA| NA| NA| 0
lleva| B| PREMISE| CONDITION| SUPPORT| -2
sus| I| PREMISE| CONDITION| SUPPORT| -2
desperdicios| I| PREMISE| CONDITION| SUPPORT| -2
en| I| PREMISE| CONDITION| SUPPORT| -2
una| I| PREMISE| CONDITION| SUPPORT| -2
bolsa| I| PREMISE| CONDITION| SUPPORT| -2
hasta| I| PREMISE| CONDITION| SUPPORT| -2
que| I| PREMISE| CONDITION| SUPPORT| -2
llega| I| PREMISE| CONDITION| SUPPORT| -2
a| I| PREMISE| CONDITION| SUPPORT| -2
su| I| PREMISE| CONDITION| SUPPORT| -2
casa| I| PREMISE| CONDITION| SUPPORT| -2
o| I| PREMISE| CONDITION| SUPPORT| -2
al| I| PREMISE| CONDITION| SUPPORT| -2
trabajo| I| PREMISE| CONDITION| SUPPORT| -2
.| O| NA| NA| NA| 0
Los| B| CLAIM| ALTERNATIVE| SUPPORT| -6
empleados| I| CLAIM| ALTERNATIVE| SUPPORT| -6
públicos| I| CLAIM| ALTERNATIVE| SUPPORT| -6
están| I| CLAIM| ALTERNATIVE| SUPPORT| -6
contratados| I| CLAIM| ALTERNATIVE| SUPPORT| -6
para| I| CLAIM| ALTERNATIVE| SUPPORT| -6
limpiar| I| CLAIM| ALTERNATIVE| SUPPORT| -6
las| I| CLAIM| ALTERNATIVE| SUPPORT| -6
ciudades| I| CLAIM| ALTERNATIVE| SUPPORT| -6
de| I| CLAIM| ALTERNATIVE| SUPPORT| -6
los| I| CLAIM| ALTERNATIVE| SUPPORT| -6
resultados| I| CLAIM| ALTERNATIVE| SUPPORT| -6
del| I| CLAIM| ALTERNATIVE| SUPPORT| -6
tiempo| I| CLAIM| ALTERNATIVE| SUPPORT| -6
:| O| NA| NA| NA| 0
las| B| PREMISE| EXEMPLIFICATION| SUPPORT| -1
hojas| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
los| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
árboles| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
,| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
el| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
barro| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
lluvia| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
,| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
etc.| I| PREMISE| EXEMPLIFICATION| SUPPORT| -1
No| B| PREMISE| EXEMPLIFICATION| ATTACK| -2
para| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
recoger| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
los| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
excrementos| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
de| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
nuestras| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
mascotas| I| PREMISE| EXEMPLIFICATION| ATTACK| -2
y| O| NA| NA| NA| 0
todos| B| PREMISE| EXEMPLIFICATION| ATTACK| -3
los| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
desperdicios| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
que| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
tiramos| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
me| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
incluyo| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
por| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
cortesía| I| PREMISE| EXEMPLIFICATION| ATTACK| -3
,| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
alguna| O| NA| NA| NA| 0
vez| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
hubiera| O| NA| NA| NA| 0
hecho| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
absoluto| O| NA| NA| NA| 0
despiste| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
ciudadanos| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

El| B| CLAIM| NA| NA| 0
riesgo| I| CLAIM| NA| NA| 0
real| I| CLAIM| NA| NA| 0
existe| I| CLAIM| NA| NA| 0
y| I| CLAIM| NA| NA| 0
si| I| CLAIM| NA| NA| 0
quieres| I| CLAIM| NA| NA| 0
te| I| CLAIM| NA| NA| 0
saco| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
estadística| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
ciclistas| I| CLAIM| NA| NA| 0
atropellados| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
últimos| I| CLAIM| NA| NA| 0
años| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Sinceramente| B| PREMISE| CONCLUSION| SUPPORT| -1
no| I| PREMISE| CONCLUSION| SUPPORT| -1
se| I| PREMISE| CONCLUSION| SUPPORT| -1
que| I| PREMISE| CONCLUSION| SUPPORT| -1
riesgos| I| PREMISE| CONCLUSION| SUPPORT| -1
añade| I| PREMISE| CONCLUSION| SUPPORT| -1
un| I| PREMISE| CONCLUSION| SUPPORT| -1
carril| I| PREMISE| CONCLUSION| SUPPORT| -1
bicicleta| I| PREMISE| CONCLUSION| SUPPORT| -1
que| I| PREMISE| CONCLUSION| SUPPORT| -1
aparta| I| PREMISE| CONCLUSION| SUPPORT| -1
al| I| PREMISE| CONCLUSION| SUPPORT| -1
tráfico| I| PREMISE| CONCLUSION| SUPPORT| -1
de| I| PREMISE| CONCLUSION| SUPPORT| -1
ciclistas| I| PREMISE| CONCLUSION| SUPPORT| -1
,| O| NA| NA| NA| 0
me| O| NA| NA| NA| 0
muevo| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
ciudad| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
también| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
carriles| O| NA| NA| NA| 0
bicicleta| O| NA| NA| NA| 0
San| O| NA| NA| NA| 0
Martín| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
Vega| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
Burgos| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
anillo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Y| O| NA| NA| NA| 0
el| B| PREMISE| ADDITION| SUPPORT| -1
nivel| I| PREMISE| ADDITION| SUPPORT| -1
de| I| PREMISE| ADDITION| SUPPORT| -1
seguridad| I| PREMISE| ADDITION| SUPPORT| -1
en| I| PREMISE| ADDITION| SUPPORT| -1
un| I| PREMISE| ADDITION| SUPPORT| -1
carril| I| PREMISE| ADDITION| SUPPORT| -1
bicicleta| I| PREMISE| ADDITION| SUPPORT| -1
es| I| PREMISE| ADDITION| SUPPORT| -1
casi| I| PREMISE| ADDITION| SUPPORT| -1
pleno| I| PREMISE| ADDITION| SUPPORT| -1
si| I| PREMISE| ADDITION| SUPPORT| -1
lo| I| PREMISE| ADDITION| SUPPORT| -1
compáramos| I| PREMISE| ADDITION| SUPPORT| -1
rodando| I| PREMISE| ADDITION| SUPPORT| -1
con| I| PREMISE| ADDITION| SUPPORT| -1
tráfico| I| PREMISE| ADDITION| SUPPORT| -1
.| O| NA| NA| NA| 0
En| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
cuesta| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
San| O| NA| NA| NA| 0
Vicente| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
tramo| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
metes| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
acera| O| NA| NA| NA| 0
molestando| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
peatones| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
metes| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
carril| O| NA| NA| NA| 0
autobús| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
teoría| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
debe| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
te| O| NA| NA| NA| 0
metes| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
carril| O| NA| NA| NA| 0
del| O| NA| NA| NA| 0
resto| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
tráfico| O| NA| NA| NA| 0
porque| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
separado| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
