Limpiar| B| MAJOR_CLAIM| NA| NA| 0
puntos| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
y| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
sus| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
consecuencias| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
no| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
hubo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
un| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
resultado| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
efectivo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
.| O| NA| NA| NA| 0

Si| O| NA| NA| NA| 0
porque| O| NA| NA| NA| 0
los| B| PREMISE| REASON| SUPPORT| 1
carteles| I| PREMISE| REASON| SUPPORT| 1
nuevos| I| PREMISE| REASON| SUPPORT| 1
que| I| PREMISE| REASON| SUPPORT| 1
han| I| PREMISE| REASON| SUPPORT| 1
puesto| I| PREMISE| REASON| SUPPORT| 1
no| I| PREMISE| REASON| SUPPORT| 1
son| I| PREMISE| REASON| SUPPORT| 1
muy| I| PREMISE| REASON| SUPPORT| 1
eficaces| I| PREMISE| REASON| SUPPORT| 1
.| I| PREMISE| REASON| SUPPORT| 1
Al| I| PREMISE| REASON| SUPPORT| 1
menos| I| PREMISE| REASON| SUPPORT| 1
en| I| PREMISE| REASON| SUPPORT| 1
mi| I| PREMISE| REASON| SUPPORT| 1
barrio| I| PREMISE| REASON| SUPPORT| 1
en| I| PREMISE| REASON| SUPPORT| 1
usera| I| PREMISE| REASON| SUPPORT| 1
.| O| NA| NA| NA| 0
Se| B| CLAIM| NA| NA| 0
debería| I| CLAIM| NA| NA| 0
realizar| I| CLAIM| NA| NA| 0
un| I| CLAIM| NA| NA| 0
estudio| I| CLAIM| NA| NA| 0
para| I| CLAIM| NA| NA| 0
ver| I| CLAIM| NA| NA| 0
si| I| CLAIM| NA| NA| 0
esos| I| CLAIM| NA| NA| 0
carteles| I| CLAIM| NA| NA| 0
realmente| I| CLAIM| NA| NA| 0
redujeron| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
basura| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
las| I| CLAIM| NA| NA| 0
zonas| I| CLAIM| NA| NA| 0
donde| I| CLAIM| NA| NA| 0
los| I| CLAIM| NA| NA| 0
pusieron| I| CLAIM| NA| NA| 0
o| I| CLAIM| NA| NA| 0
sólo| I| CLAIM| NA| NA| 0
sirvieron| I| CLAIM| NA| NA| 0
para| I| CLAIM| NA| NA| 0
gastar| I| CLAIM| NA| NA| 0
dinero| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
unos| I| CLAIM| NA| NA| 0
cartelitos| I| CLAIM| NA| NA| 0
muy| I| CLAIM| NA| NA| 0
bonitos| I| CLAIM| NA| NA| 0
pero| O| NA| NA| NA| 0
no| B| PREMISE| OPPOSITION| ATTACK| -1
tengo| I| PREMISE| OPPOSITION| ATTACK| -1
la| I| PREMISE| OPPOSITION| ATTACK| -1
certeza| I| PREMISE| OPPOSITION| ATTACK| -1
de| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
sirvan| I| PREMISE| OPPOSITION| ATTACK| -1
para| I| PREMISE| OPPOSITION| ATTACK| -1
algo| I| PREMISE| OPPOSITION| ATTACK| -1
.| O| NA| NA| NA| 0
Y| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
las| O| NA| NA| NA| 0
pruebas| O| NA| NA| NA| 0
me| O| NA| NA| NA| 0
remito| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Mi| O| NA| NA| NA| 0
barrio| O| NA| NA| NA| 0
está| O| NA| NA| NA| 0
sucio| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Lo| O| NA| NA| NA| 0
mismo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
mi| O| NA| NA| NA| 0
barrio| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
Arganzuela| B| CLAIM| NA| NA| 0
también| I| CLAIM| NA| NA| 0
está| I| CLAIM| NA| NA| 0
muy| I| CLAIM| NA| NA| 0
sucio| I| CLAIM| NA| NA| 0
pero| O| NA| NA| NA| 0
no| B| PREMISE| OPPOSITION| ATTACK| -1
porque| I| PREMISE| OPPOSITION| ATTACK| -1
no| I| PREMISE| OPPOSITION| ATTACK| -1
limpien| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
limpian| I| PREMISE| OPPOSITION| ATTACK| -1
sino| O| NA| NA| NA| 0
porque| O| NA| NA| NA| 0
hay| B| PREMISE| REASON| SUPPORT| -2
unos| I| PREMISE| REASON| SUPPORT| -2
cuantos| I| PREMISE| REASON| SUPPORT| -2
guarros| I| PREMISE| REASON| SUPPORT| -2
que| I| PREMISE| REASON| SUPPORT| -2
les| I| PREMISE| REASON| SUPPORT| -2
encanta| I| PREMISE| REASON| SUPPORT| -2
esparcir| I| PREMISE| REASON| SUPPORT| -2
basura| I| PREMISE| REASON| SUPPORT| -2
por| I| PREMISE| REASON| SUPPORT| -2
todos| I| PREMISE| REASON| SUPPORT| -2
los| I| PREMISE| REASON| SUPPORT| -2
lados| I| PREMISE| REASON| SUPPORT| -2
,| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
recomiendo| B| PREMISE| RESULT| SUPPORT| -3
educación| I| PREMISE| RESULT| SUPPORT| -3
ya| I| PREMISE| RESULT| SUPPORT| -3
que| I| PREMISE| RESULT| SUPPORT| -3
parece| I| PREMISE| RESULT| SUPPORT| -3
que| I| PREMISE| RESULT| SUPPORT| -3
los| I| PREMISE| RESULT| SUPPORT| -3
cartelitos| I| PREMISE| RESULT| SUPPORT| -3
no| I| PREMISE| RESULT| SUPPORT| -3
son| I| PREMISE| RESULT| SUPPORT| -3
útiles| I| PREMISE| RESULT| SUPPORT| -3
a| I| PREMISE| RESULT| SUPPORT| -3
base| I| PREMISE| RESULT| SUPPORT| -3
de| I| PREMISE| RESULT| SUPPORT| -3
multazo| I| PREMISE| RESULT| SUPPORT| -3
a| I| PREMISE| RESULT| SUPPORT| -3
los| I| PREMISE| RESULT| SUPPORT| -3
guarros| I| PREMISE| RESULT| SUPPORT| -3
.| O| NA| NA| NA| 0

Propuesta| O| NA| NA| NA| 0
relacionada| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
multar| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
excrementos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
lso| O| NA| NA| NA| 0
perros| O| NA| NA| NA| 0
:| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Esto| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
lo| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
importante| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
calles| B| CLAIM| NA| NA| 0
limpias| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
No| B| PREMISE| REASON| SUPPORT| -1
sería| I| PREMISE| REASON| SUPPORT| -1
agradable| I| PREMISE| REASON| SUPPORT| -1
ir| I| PREMISE| REASON| SUPPORT| -1
a| I| PREMISE| REASON| SUPPORT| -1
una| I| PREMISE| REASON| SUPPORT| -1
ciudad| I| PREMISE| REASON| SUPPORT| -1
tan| I| PREMISE| REASON| SUPPORT| -1
bonita| I| PREMISE| REASON| SUPPORT| -1
como| I| PREMISE| REASON| SUPPORT| -1
Londres| I| PREMISE| REASON| SUPPORT| -1
y| I| PREMISE| REASON| SUPPORT| -1
que| I| PREMISE| REASON| SUPPORT| -1
estuviese| I| PREMISE| REASON| SUPPORT| -1
lleno| I| PREMISE| REASON| SUPPORT| -1
de| I| PREMISE| REASON| SUPPORT| -1
mierda| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0

Hay| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
volverse| O| NA| NA| NA| 0
a| O| NA| NA| NA| 0
sentirse| O| NA| NA| NA| 0
orgulloso| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
nuestra| O| NA| NA| NA| 0
ciudad| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
recuperarla| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
muchas| O| NA| NA| NA| 0
cosas| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
hagan| O| NA| NA| NA| 0
si| O| NA| NA| NA| 0
no| B| PREMISE| CONDITION| SUPPORT| 1
está| I| PREMISE| CONDITION| SUPPORT| 1
limpia| I| PREMISE| CONDITION| SUPPORT| 1
,| O| NA| NA| NA| 0
lo| B| CLAIM| NA| NA| 0
demás| I| CLAIM| NA| NA| 0
será| I| CLAIM| NA| NA| 0
inútil| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0

Es| B| CLAIM| NA| NA| 0
lamentable| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
estado| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
las| I| CLAIM| NA| NA| 0
calles| I| CLAIM| NA| NA| 0
en| I| CLAIM| NA| NA| 0
la| I| CLAIM| NA| NA| 0
zona| I| CLAIM| NA| NA| 0
centro| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
Madrid| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
hablar| O| NA| NA| NA| 0
ya| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
concreto| O| NA| NA| NA| 0
de| B| PREMISE| PRECISION| SUPPORT| -1
Malasaña| I| PREMISE| PRECISION| SUPPORT| -1
,| I| PREMISE| PRECISION| SUPPORT| -1
donde| I| PREMISE| PRECISION| SUPPORT| -1
los| I| PREMISE| PRECISION| SUPPORT| -1
vecinos| I| PREMISE| PRECISION| SUPPORT| -1
tenemos| I| PREMISE| PRECISION| SUPPORT| -1
que| I| PREMISE| PRECISION| SUPPORT| -1
convivir| I| PREMISE| PRECISION| SUPPORT| -1
rodeados| I| PREMISE| PRECISION| SUPPORT| -1
de| I| PREMISE| PRECISION| SUPPORT| -1
basura| I| PREMISE| PRECISION| SUPPORT| -1
,| I| PREMISE| PRECISION| SUPPORT| -1
calles| I| PREMISE| PRECISION| SUPPORT| -1
llenas| I| PREMISE| PRECISION| SUPPORT| -1
de| I| PREMISE| PRECISION| SUPPORT| -1
orín| I| PREMISE| PRECISION| SUPPORT| -1
,| I| PREMISE| PRECISION| SUPPORT| -1
excrementos| I| PREMISE| PRECISION| SUPPORT| -1
no| I| PREMISE| PRECISION| SUPPORT| -1
solo| I| PREMISE| PRECISION| SUPPORT| -1
de| I| PREMISE| PRECISION| SUPPORT| -1
animales| I| PREMISE| PRECISION| SUPPORT| -1
de| I| PREMISE| PRECISION| SUPPORT| -1
4| I| PREMISE| PRECISION| SUPPORT| -1
patas| I| PREMISE| PRECISION| SUPPORT| -1
vómitos| I| PREMISE| PRECISION| SUPPORT| -1
,| I| PREMISE| PRECISION| SUPPORT| -1
botellas| I| PREMISE| PRECISION| SUPPORT| -1
rotas| I| PREMISE| PRECISION| SUPPORT| -1
.| O| NA| NA| NA| 0
Las| B| PREMISE| REASON| SUPPORT| -2
únicas| I| PREMISE| REASON| SUPPORT| -2
calles| I| PREMISE| REASON| SUPPORT| -2
que| I| PREMISE| REASON| SUPPORT| -2
se| I| PREMISE| REASON| SUPPORT| -2
limpian| I| PREMISE| REASON| SUPPORT| -2
son| I| PREMISE| REASON| SUPPORT| -2
Espítu| I| PREMISE| REASON| SUPPORT| -2
Santo| I| PREMISE| REASON| SUPPORT| -2
y| I| PREMISE| REASON| SUPPORT| -2
Manuela| I| PREMISE| REASON| SUPPORT| -2
Malasaña| I| PREMISE| REASON| SUPPORT| -2
.| O| NA| NA| NA| 0
El| B| PREMISE| EXPLANATION| SUPPORT| -3
estado| I| PREMISE| EXPLANATION| SUPPORT| -3
del| I| PREMISE| EXPLANATION| SUPPORT| -3
barrio| I| PREMISE| EXPLANATION| SUPPORT| -3
roza| I| PREMISE| EXPLANATION| SUPPORT| -3
la| I| PREMISE| EXPLANATION| SUPPORT| -3
insalubridad| I| PREMISE| EXPLANATION| SUPPORT| -3
.| O| NA| NA| NA| 0
La| B| PREMISE| REASON| SUPPORT| -4
gestión| I| PREMISE| REASON| SUPPORT| -4
en| I| PREMISE| REASON| SUPPORT| -4
cuanto| I| PREMISE| REASON| SUPPORT| -4
a| I| PREMISE| REASON| SUPPORT| -4
limpieza| I| PREMISE| REASON| SUPPORT| -4
ha| I| PREMISE| REASON| SUPPORT| -4
sido| I| PREMISE| REASON| SUPPORT| -4
y| I| PREMISE| REASON| SUPPORT| -4
sigue| I| PREMISE| REASON| SUPPORT| -4
siendo| I| PREMISE| REASON| SUPPORT| -4
más| I| PREMISE| REASON| SUPPORT| -4
que| I| PREMISE| REASON| SUPPORT| -4
pésima| I| PREMISE| REASON| SUPPORT| -4
.| O| NA| NA| NA| 0

Ahora| B| CLAIM| NA| NA| 0
Madrid| I| CLAIM| NA| NA| 0
ya| I| CLAIM| NA| NA| 0
puso| I| CLAIM| NA| NA| 0
planes| I| CLAIM| NA| NA| 0
de| I| CLAIM| NA| NA| 0
limpieza| I| CLAIM| NA| NA| 0
urgentes| I| CLAIM| NA| NA| 0
durante| I| CLAIM| NA| NA| 0
el| I| CLAIM| NA| NA| 0
verano| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
adelantar| B| PREMISE| GOAL| SUPPORT| -1
los| I| PREMISE| GOAL| SUPPORT| -1
planes| I| PREMISE| GOAL| SUPPORT| -1
de| I| PREMISE| GOAL| SUPPORT| -1
limpieza| I| PREMISE| GOAL| SUPPORT| -1
regulares| I| PREMISE| GOAL| SUPPORT| -1
,| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
encontrarse| B| PREMISE| GOAL| ATTACK| -2
con| I| PREMISE| GOAL| ATTACK| -2
todo| I| PREMISE| GOAL| ATTACK| -2
tipo| I| PREMISE| GOAL| ATTACK| -2
de| I| PREMISE| GOAL| ATTACK| -2
externalizaciones| I| PREMISE| GOAL| ATTACK| -2
y| I| PREMISE| GOAL| ATTACK| -2
contratos| I| PREMISE| GOAL| ATTACK| -2
blindados| I| PREMISE| GOAL| ATTACK| -2
por| I| PREMISE| GOAL| ATTACK| -2
el| I| PREMISE| GOAL| ATTACK| -2
partido| I| PREMISE| GOAL| ATTACK| -2
anterior| I| PREMISE| GOAL| ATTACK| -2
.| O| NA| NA| NA| 0
Llevan| B| PREMISE| EXPLANATION| SUPPORT| -3
en| I| PREMISE| EXPLANATION| SUPPORT| -3
ello| I| PREMISE| EXPLANATION| SUPPORT| -3
desde| I| PREMISE| EXPLANATION| SUPPORT| -3
que| I| PREMISE| EXPLANATION| SUPPORT| -3
llegaron| I| PREMISE| EXPLANATION| SUPPORT| -3
.| O| NA| NA| NA| 0
Convendría| O| NA| NA| NA| 0
informarse| O| NA| NA| NA| 0
antes| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
hacer| O| NA| NA| NA| 0
proponer| O| NA| NA| NA| 0
iniciativas| O| NA| NA| NA| 0
ciudadanas| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
calibre| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Pues| B| CLAIM| NA| NA| 0
les| I| CLAIM| NA| NA| 0
ha| I| CLAIM| NA| NA| 0
cundido| I| CLAIM| NA| NA| 0
poco| I| CLAIM| NA| NA| 0
.| O| NA| NA| NA| 0
Siguen| B| PREMISE| REASON| SUPPORT| -1
estando| I| PREMISE| REASON| SUPPORT| -1
hechas| I| PREMISE| REASON| SUPPORT| -1
un| I| PREMISE| REASON| SUPPORT| -1
asco| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0

¿| O| NA| NA| NA| 0
De| B| CLAIM| NA| NA| 0
qué| I| CLAIM| NA| NA| 0
sirve| I| CLAIM| NA| NA| 0
limpiar| I| CLAIM| NA| NA| 0
a| I| CLAIM| NA| NA| 0
fondo| I| CLAIM| NA| NA| 0
un| I| CLAIM| NA| NA| 0
tiempo| I| CLAIM| NA| NA| 0
si| O| NA| NA| NA| 0
después| B| PREMISE| CONDITION| ATTACK| -1
se| I| PREMISE| CONDITION| ATTACK| -1
deja| I| PREMISE| CONDITION| ATTACK| -1
de| I| PREMISE| CONDITION| ATTACK| -1
limpiar| I| PREMISE| CONDITION| ATTACK| -1
?| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Excepcional| O| NA| NA| NA| 0
inversión| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
Parque| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
Rio| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
todos| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
madrileños| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
turistas| O| NA| NA| NA| 0
disfrutan| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
escasez| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
servicios| O| NA| NA| NA| 0
esenciales| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
sus| O| NA| NA| NA| 0
calles| O| NA| NA| NA| 0
adyacentes| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
Antonio| O| NA| NA| NA| 0
López| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
donde| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
hotel| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
4| O| NA| NA| NA| 0
estrellas| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
numerosos| O| NA| NA| NA| 0
negocios| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
hostelería| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
comercio| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
residen| O| NA| NA| NA| 0
tantos| O| NA| NA| NA| 0
vecinos| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
yo| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
fin| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
semana| O| NA| NA| NA| 0
paseamos| O| NA| NA| NA| 0
entre| O| NA| NA| NA| 0
basura| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
salir| O| NA| NA| NA| 0
del| O| NA| NA| NA| 0
portal| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

No| O| NA| NA| NA| 0
olviden| O| NA| NA| NA| 0
el| O| NA| NA| NA| 0
problema| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
tenemos| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
barrios| O| NA| NA| NA| 0
como| O| NA| NA| NA| 0
Villaverde| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
La| B| CLAIM| NA| NA| 0
limpieza| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
suficiente| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
horas| B| PREMISE| REASON| SUPPORT| -1
después| I| PREMISE| REASON| SUPPORT| -1
está| I| PREMISE| REASON| SUPPORT| -1
nuevamente| I| PREMISE| REASON| SUPPORT| -1
sucia| I| PREMISE| REASON| SUPPORT| -1
.| O| NA| NA| NA| 0
En| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
caso| O| NA| NA| NA| 0
principalmente| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
las| B| PREMISE| REASON| SUPPORT| -2
personas| I| PREMISE| REASON| SUPPORT| -2
que| I| PREMISE| REASON| SUPPORT| -2
rebuscan| I| PREMISE| REASON| SUPPORT| -2
en| I| PREMISE| REASON| SUPPORT| -2
las| I| PREMISE| REASON| SUPPORT| -2
bolsas| I| PREMISE| REASON| SUPPORT| -2
de| I| PREMISE| REASON| SUPPORT| -2
la| I| PREMISE| REASON| SUPPORT| -2
basura| I| PREMISE| REASON| SUPPORT| -2
.| O| NA| NA| NA| 0
Propongo| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
además| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
un| O| NA| NA| NA| 0
plan| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
información| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
ayuda| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
estas| O| NA| NA| NA| 0
personas| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
por| O| NA| NA| NA| 0
diferentes| O| NA| NA| NA| 0
motivos| O| NA| NA| NA| 0
buscan| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
basura| O| NA| NA| NA| 0
y| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
los| O| NA| NA| NA| 0
contenedores| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
soterren| O| NA| NA| NA| 0
en| O| NA| NA| NA| 0
todo| O| NA| NA| NA| 0
Madrid| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0
Además| O| NA| NA| NA| 0
multas| O| NA| NA| NA| 0
disuasorias| O| NA| NA| NA| 0
o| O| NA| NA| NA| 0
trabajos| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
limpieza| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
aquellas| O| NA| NA| NA| 0
personas| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
arrojen| O| NA| NA| NA| 0
basura| O| NA| NA| NA| 0
de| O| NA| NA| NA| 0
cualquier| O| NA| NA| NA| 0
tipo| O| NA| NA| NA| 0
al| O| NA| NA| NA| 0
suelo| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Una| O| NA| NA| NA| 0
parte| O| NA| NA| NA| 0
del| O| NA| NA| NA| 0
problema| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
limpiar| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
otra| O| NA| NA| NA| 0
parte| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
hay| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
ensuciar| O| NA| NA| NA| 0
,| O| NA| NA| NA| 0
Madrid| B| CLAIM| NA| NA| 0
esta| I| CLAIM| NA| NA| 0
sucio| I| CLAIM| NA| NA| 0
porque| O| NA| NA| NA| 0
la| O| NA| NA| NA| 0
gente| B| PREMISE| REASON| SUPPORT| -1
es| I| PREMISE| REASON| SUPPORT| -1
bastante| I| PREMISE| REASON| SUPPORT| -1
irrespetuosa| I| PREMISE| REASON| SUPPORT| -1
,| O| NA| NA| NA| 0
deja| B| PREMISE| EXEMPLIFICATION| SUPPORT| -2
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
basura| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
a| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
las| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
9| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
mañana| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
los| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
árboles| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
o| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
al| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
lado| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
las| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
papeleras| I| PREMISE| EXEMPLIFICATION| SUPPORT| -2
,| O| NA| NA| NA| 0
tiran| B| PREMISE| EXEMPLIFICATION| SUPPORT| -3
muebles| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
la| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
acera| I| PREMISE| EXEMPLIFICATION| SUPPORT| -3
,| O| NA| NA| NA| 0
doblar| B| PREMISE| EXEMPLIFICATION| SUPPORT| -4
una| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
caja| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
de| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
cartón| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
para| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
meterla| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
en| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
un| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
contenedor| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
parece| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
que| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
es| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
algo| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
muy| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
complicado| I| PREMISE| EXEMPLIFICATION| SUPPORT| -4
El| O| NA| NA| NA| 0
primer| O| NA| NA| NA| 0
paso| O| NA| NA| NA| 0
para| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
todo| O| NA| NA| NA| 0
este| O| NA| NA| NA| 0
más| O| NA| NA| NA| 0
limpio| O| NA| NA| NA| 0
es| O| NA| NA| NA| 0
que| O| NA| NA| NA| 0
no| O| NA| NA| NA| 0
se| O| NA| NA| NA| 0
ensucie| O| NA| NA| NA| 0
.| O| NA| NA| NA| 0

Lo| B| CLAIM| NA| NA| 0
ideal| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
que| I| CLAIM| NA| NA| 0
no| I| CLAIM| NA| NA| 0
se| I| CLAIM| NA| NA| 0
manche| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
lo| B| PREMISE| OPPOSITION| ATTACK| -1
necesario| I| PREMISE| OPPOSITION| ATTACK| -1
es| I| PREMISE| OPPOSITION| ATTACK| -1
que| I| PREMISE| OPPOSITION| ATTACK| -1
se| I| PREMISE| OPPOSITION| ATTACK| -1
limpie| I| PREMISE| OPPOSITION| ATTACK| -1
.| O| NA| NA| NA| 0
Culpar| B| CLAIM| NA| NA| 0
al| I| CLAIM| NA| NA| 0
ciudadano| I| CLAIM| NA| NA| 0
es| I| CLAIM| NA| NA| 0
lo| I| CLAIM| NA| NA| 0
habitual| I| CLAIM| NA| NA| 0
,| O| NA| NA| NA| 0
pero| O| NA| NA| NA| 0
pongo| B| PREMISE| OPPOSITION| ATTACK| -1
un| I| PREMISE| OPPOSITION| ATTACK| -1
simil| I| PREMISE| OPPOSITION| ATTACK| -1
